hex_id,direction,neighbor_id,review_status,crossing_features,blue_pixels_29x29,pink_pixels_29x29,dark_pixels_29x29,color_pixels_51x51,border_signal_pixels,route_crossing_score,signals
1319,s,1320,zone_unconfirmed,,261,24,0,594,151,0,river_candidate;road_candidate
1319,ne,1418,zone_unconfirmed,,0,0,185,311,25,4,rail_or_primary_candidate;route_crossing_candidate
1319,se,1419,zone_unconfirmed,,0,0,62,143,47,12,rail_or_primary_candidate;route_crossing_candidate
1320,ne,1419,zone_unconfirmed,,321,59,0,899,163,0,river_candidate;road_candidate
1320,se,1420,zone_unconfirmed,,0,1,0,57,105,7,route_crossing_candidate
1413,s,1414,zone_unconfirmed,,0,23,4,50,43,6,road_candidate;route_crossing_candidate
1413,se,1514,zone_unconfirmed,,0,25,23,133,35,11,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1414,s,1415,zone_unconfirmed,,0,36,33,105,38,6,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1414,ne,1514,zone_unconfirmed,,0,1,0,1,0,3,no_feature_candidate;strong_no_feature_candidate
1414,se,1515,zone_unconfirmed,,0,0,0,0,3,0,no_feature_candidate;strong_no_feature_candidate
1415,s,1416,zone_unconfirmed,,0,3,0,24,41,6,route_crossing_candidate
1415,se,1516,zone_unconfirmed,,0,11,0,27,2,5,road_candidate;route_crossing_candidate
1416,s,1417,zone_unconfirmed,,0,2,0,65,5,5,route_crossing_candidate
1416,ne,1516,zone_unconfirmed,,0,1,0,27,0,5,route_crossing_candidate
1416,se,1517,zone_unconfirmed,,0,8,0,14,0,0,road_candidate
1417,s,1418,zone_unconfirmed,,0,0,0,2,0,0,no_feature_candidate;strong_no_feature_candidate
1417,ne,1517,zone_unconfirmed,,0,35,28,144,12,6,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1417,se,1518,zone_unconfirmed,,0,0,0,1,5,1,no_feature_candidate;strong_no_feature_candidate
1418,s,1419,zone_unconfirmed,,0,28,0,138,4,9,road_candidate;route_crossing_candidate
1418,ne,1518,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
1418,se,1519,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
1419,s,1420,zone_unconfirmed,,271,57,0,847,156,0,river_candidate;road_candidate
1419,ne,1519,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
1419,se,1520,zone_unconfirmed,,0,9,59,263,47,12,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1420,s,1421,zone_unconfirmed,,0,0,50,61,100,0,rail_or_primary_candidate
1420,ne,1520,zone_unconfirmed,,276,39,0,631,167,0,river_candidate;road_candidate
1420,se,1521,zone_unconfirmed,,0,11,0,346,95,0,road_candidate
1421,s,1422,zone_unconfirmed,,0,0,0,0,61,0,no_feature_candidate
1421,ne,1521,zone_unconfirmed,,323,31,0,661,128,3,river_candidate;road_candidate
1421,se,1522,zone_unconfirmed,,0,36,0,73,42,2,road_candidate
1422,ne,1522,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
1422,se,1523,zone_unconfirmed,,0,0,187,312,90,4,rail_or_primary_candidate;route_crossing_candidate
1513,s,1514,zone_unconfirmed,,0,0,105,304,0,5,rail_or_primary_candidate;route_crossing_candidate
1514,s,1515,zone_unconfirmed,,0,0,34,57,0,0,rail_or_primary_candidate
1514,ne,1613,zone_unconfirmed,,0,0,0,6,32,0,no_feature_candidate
1514,se,1614,zone_unconfirmed,,0,0,52,105,5,12,rail_or_primary_candidate;route_crossing_candidate
1515,s,1516,zone_unconfirmed,,0,1,0,1,0,0,no_feature_candidate;strong_no_feature_candidate
1515,ne,1614,zone_unconfirmed,,0,35,0,46,3,2,road_candidate
1515,se,1615,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
1516,s,1517,zone_unconfirmed,,0,35,25,116,5,2,road_candidate;rail_or_primary_candidate
1516,ne,1615,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
1516,se,1616,zone_unconfirmed,,0,3,0,3,4,0,no_feature_candidate;strong_no_feature_candidate
1517,ne,1616,zone_unconfirmed,,0,0,0,9,1,0,no_feature_candidate;strong_no_feature_candidate
1517,se,1617,zone_unconfirmed,,0,4,52,125,8,5,rail_or_primary_candidate;route_crossing_candidate
1518,s,1519,zone_unconfirmed,,0,0,0,0,16,0,no_feature_candidate
1518,ne,1617,zone_unconfirmed,,0,0,0,0,1,0,no_feature_candidate;strong_no_feature_candidate
1518,se,1618,zone_unconfirmed,,0,0,0,82,11,0,
1519,s,1520,zone_unconfirmed,,0,0,0,4,0,0,no_feature_candidate;strong_no_feature_candidate
1519,ne,1618,zone_unconfirmed,,0,0,0,18,6,0,
1519,se,1619,zone_unconfirmed,,0,2,0,2,0,0,no_feature_candidate;strong_no_feature_candidate
1520,s,1521,zone_unconfirmed,,256,18,0,481,114,0,river_candidate;road_candidate
1520,ne,1619,zone_unconfirmed,,0,0,0,4,0,3,no_feature_candidate;strong_no_feature_candidate
1520,se,1620,zone_unconfirmed,,0,7,62,202,47,7,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1521,s,1522,zone_unconfirmed,,252,38,0,574,103,9,river_candidate;road_candidate;route_crossing_candidate
1521,ne,1620,zone_unconfirmed,,72,17,0,353,120,4,river_candidate;road_candidate;route_crossing_candidate
1521,se,1621,zone_unconfirmed,,254,5,0,614,162,15,river_candidate;road_candidate;route_crossing_candidate
1522,s,1523,zone_unconfirmed,,0,0,49,75,0,0,rail_or_primary_candidate
1522,ne,1621,zone_unconfirmed,,0,10,0,79,45,9,road_candidate;route_crossing_candidate
1522,se,1622,zone_unconfirmed,,0,0,0,0,2,0,no_feature_candidate;strong_no_feature_candidate
1523,ne,1622,zone_unconfirmed,,0,16,0,57,18,6,road_candidate;route_crossing_candidate
1523,se,1623,zone_unconfirmed,,0,21,0,90,92,8,road_candidate;route_crossing_candidate
1613,s,1614,zone_unconfirmed,,0,0,0,3,1,0,no_feature_candidate;strong_no_feature_candidate
1614,s,1615,zone_unconfirmed,,0,3,0,46,6,6,route_crossing_candidate
1614,ne,1714,zone_unconfirmed,,0,0,0,2,0,0,no_feature_candidate;strong_no_feature_candidate
1614,se,1715,zone_unconfirmed,,0,0,55,102,9,11,rail_or_primary_candidate;route_crossing_candidate
1615,s,1616,zone_unconfirmed,,0,0,0,11,4,3,
1615,ne,1715,zone_unconfirmed,,0,0,0,1,8,0,no_feature_candidate
1615,se,1716,zone_unconfirmed,,0,2,0,31,5,7,route_crossing_candidate
1616,s,1617,zone_unconfirmed,,0,0,0,191,0,7,route_crossing_candidate
1616,ne,1716,zone_unconfirmed,,0,0,0,10,5,2,no_feature_candidate;strong_no_feature_candidate
1616,se,1717,zone_unconfirmed,,0,0,163,328,28,2,rail_or_primary_candidate
1617,s,1618,zone_unconfirmed,,0,21,3,45,2,6,road_candidate;route_crossing_candidate
1617,ne,1717,zone_unconfirmed,,0,26,0,47,12,5,road_candidate;route_crossing_candidate
1617,se,1718,zone_unconfirmed,,0,21,37,129,9,7,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1618,s,1619,zone_unconfirmed,,0,29,1,59,6,7,road_candidate;route_crossing_candidate
1618,ne,1718,zone_unconfirmed,,0,0,1,97,14,2,
1618,se,1719,zone_unconfirmed,,0,0,52,121,18,0,rail_or_primary_candidate
1619,s,1620,zone_unconfirmed,,0,27,60,277,15,7,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1619,ne,1719,zone_unconfirmed,,0,2,0,2,0,0,no_feature_candidate;strong_no_feature_candidate
1619,se,1720,zone_unconfirmed,,0,1,0,1,5,0,no_feature_candidate;strong_no_feature_candidate
1620,ne,1720,zone_unconfirmed,,0,14,35,133,4,3,road_candidate;rail_or_primary_candidate
1621,s,1622,zone_unconfirmed,,0,51,1,88,7,8,road_candidate;route_crossing_candidate
1622,s,1623,zone_unconfirmed,,161,19,0,358,117,1,river_candidate;road_candidate
1622,ne,1722,zone_unconfirmed,,0,2,0,24,2,4,route_crossing_candidate
1622,se,1723,zone_unconfirmed,,0,3,0,59,30,0,
1623,s,1624,zone_unconfirmed,,0,0,0,0,75,0,no_feature_candidate
1623,ne,1723,zone_unconfirmed,,247,42,0,602,128,6,river_candidate;road_candidate;route_crossing_candidate
1623,se,1724,zone_unconfirmed,,0,15,0,58,75,12,road_candidate;route_crossing_candidate
1624,s,1625,zone_unconfirmed,,0,4,1,138,61,10,route_crossing_candidate
1624,ne,1724,zone_unconfirmed,,0,8,93,413,38,9,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1624,se,1725,zone_unconfirmed,,0,6,184,353,28,14,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1625,s,1626,zone_unconfirmed,,0,0,0,6,61,1,no_feature_candidate
1625,ne,1725,zone_unconfirmed,,0,19,3,104,22,15,road_candidate;route_crossing_candidate
1625,se,1726,zone_unconfirmed,,0,11,0,18,16,3,road_candidate
1626,s,1627,zone_unconfirmed,,0,2,0,3,57,0,no_feature_candidate
1626,ne,1726,zone_unconfirmed,,0,0,0,2,0,0,no_feature_candidate;strong_no_feature_candidate
1626,se,1727,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
1627,s,1628,zone_unconfirmed,,0,0,179,330,136,3,rail_or_primary_candidate
1627,ne,1727,zone_unconfirmed,,0,23,0,97,2,7,road_candidate;route_crossing_candidate
1627,se,1728,zone_unconfirmed,,0,18,34,358,35,8,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1628,ne,1728,zone_unconfirmed,,0,1,0,2,26,2,no_feature_candidate
1628,se,1729,zone_unconfirmed,,0,0,0,6,70,0,no_feature_candidate
1717,s,1718,zone_unconfirmed,,0,2,0,140,53,9,route_crossing_candidate
1718,s,1719,zone_unconfirmed,,0,104,33,236,94,0,road_candidate;rail_or_primary_candidate
1718,ne,1817,zone_unconfirmed,,212,74,25,652,149,10,river_candidate;road_candidate;rail_or_primary_candidate;route_crossing_candidate
1718,se,1818,zone_unconfirmed,,199,77,19,543,159,7,river_candidate;road_candidate;rail_or_primary_candidate;route_crossing_candidate
1719,s,1720,zone_unconfirmed,,0,0,0,1,44,0,no_feature_candidate
1720,s,1721,zone_unconfirmed,,0,1,47,66,46,0,rail_or_primary_candidate
1720,ne,1819,zone_unconfirmed,,195,89,2,752,88,4,river_candidate;road_candidate;route_crossing_candidate
1720,se,1820,zone_unconfirmed,,306,87,15,804,129,0,river_candidate;road_candidate;rail_or_primary_candidate
1722,s,1723,zone_unconfirmed,,0,32,2,82,6,16,road_candidate;route_crossing_candidate
1723,s,1724,zone_unconfirmed,,245,29,0,652,111,7,river_candidate;road_candidate;route_crossing_candidate
1723,ne,1822,zone_unconfirmed,,0,11,5,25,46,14,road_candidate;route_crossing_candidate
1723,se,1823,zone_unconfirmed,,0,154,96,905,109,12,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1724,s,1725,zone_unconfirmed,,0,0,0,20,30,10,route_crossing_candidate
1724,ne,1823,zone_unconfirmed,,0,148,50,566,110,9,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1724,se,1824,zone_unconfirmed,,0,141,71,632,103,8,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1725,s,1726,zone_unconfirmed,,165,39,0,345,95,4,river_candidate;road_candidate;route_crossing_candidate
1725,ne,1824,zone_unconfirmed,,0,78,132,777,79,16,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1725,se,1825,zone_unconfirmed,,193,34,73,823,186,14,river_candidate;road_candidate;rail_or_primary_candidate;route_crossing_candidate
1726,s,1727,zone_unconfirmed,,0,0,0,0,0,3,no_feature_candidate;strong_no_feature_candidate
1726,ne,1825,zone_unconfirmed,,0,1,68,388,62,8,rail_or_primary_candidate;route_crossing_candidate
1726,se,1826,zone_unconfirmed,,0,1,5,7,32,3,no_feature_candidate
1727,s,1728,zone_unconfirmed,,0,0,0,15,0,0,
1727,ne,1826,zone_unconfirmed,,0,19,0,34,1,6,road_candidate;route_crossing_candidate
1727,se,1827,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
1728,s,1729,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
1728,ne,1827,zone_unconfirmed,,0,3,52,153,9,7,rail_or_primary_candidate;route_crossing_candidate
1728,se,1828,zone_unconfirmed,,0,20,0,45,1,6,road_candidate;route_crossing_candidate
1729,ne,1828,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
1729,se,1829,zone_unconfirmed,,0,0,0,0,73,0,no_feature_candidate
1934,s,1935,zone_unconfirmed,,0,25,52,139,65,10,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1935,s,1936,zone_unconfirmed,,8,136,89,800,208,9,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1935,ne,2034,zone_unconfirmed,,0,0,0,47,35,0,
1935,se,2035,zone_unconfirmed,,277,46,0,627,237,0,river_candidate;road_candidate
1936,ne,2035,zone_unconfirmed,,0,197,1,683,215,8,road_candidate;route_crossing_candidate
2034,s,2035,zone_unconfirmed,,279,28,0,552,126,0,river_candidate;road_candidate
2034,se,2135,zone_unconfirmed,,299,41,0,573,129,0,river_candidate;road_candidate
2035,ne,2135,zone_unconfirmed,,0,7,0,21,32,5,road_candidate;route_crossing_candidate
2035,se,2136,zone_unconfirmed,,346,16,0,1196,184,5,river_candidate;road_candidate;route_crossing_candidate
2038,s,2039,zone_unconfirmed,,841,0,0,2429,272,3,river_candidate
2038,ne,2138,zone_unconfirmed,,837,0,0,2592,373,3,river_candidate
2038,se,2139,zone_unconfirmed,,8,5,0,421,165,2,road_candidate
2039,ne,2139,zone_unconfirmed,,52,25,0,625,11,1,river_candidate;road_candidate
2039,se,2140,zone_unconfirmed,,689,10,0,1843,227,0,river_candidate;road_candidate
2134,s,2135,zone_unconfirmed,,0,0,0,0,38,0,no_feature_candidate
2135,s,2136,zone_unconfirmed,,0,1,0,7,2,3,no_feature_candidate;strong_no_feature_candidate
2135,ne,2234,zone_unconfirmed,,0,0,0,9,0,1,no_feature_candidate;strong_no_feature_candidate
2135,se,2235,zone_unconfirmed,,0,19,0,36,6,6,road_candidate;route_crossing_candidate
2136,ne,2235,zone_unconfirmed,,660,16,0,1745,217,2,river_candidate;road_candidate
2138,s,2139,zone_unconfirmed,,841,0,0,2429,377,0,river_candidate
2138,se,2238,zone_unconfirmed,,837,0,0,2593,377,3,river_candidate
2139,s,2140,zone_unconfirmed,,0,0,0,0,11,0,no_feature_candidate
2139,ne,2238,zone_unconfirmed,,95,16,0,701,145,2,river_candidate;road_candidate
2139,se,2239,zone_unconfirmed,,0,2,0,2,0,0,no_feature_candidate;strong_no_feature_candidate
2140,ne,2239,zone_unconfirmed,,0,0,0,0,1,0,no_feature_candidate;strong_no_feature_candidate
2140,se,2240,zone_unconfirmed,,44,12,1,481,86,5,river_candidate;road_candidate;route_crossing_candidate
2234,s,2235,zone_unconfirmed,,0,1,0,4,0,0,no_feature_candidate;strong_no_feature_candidate
2234,se,2335,zone_unconfirmed,,0,0,0,1,0,0,no_feature_candidate;strong_no_feature_candidate
2235,ne,2335,zone_unconfirmed,,51,47,0,564,146,7,river_candidate;road_candidate;route_crossing_candidate
2238,s,2239,zone_unconfirmed,,0,2,0,26,3,0,
2238,ne,2338,zone_unconfirmed,,147,16,1,858,156,7,river_candidate;road_candidate;route_crossing_candidate
2238,se,2339,zone_unconfirmed,,0,14,0,30,4,0,road_candidate
2239,s,2240,zone_unconfirmed,,0,34,8,115,20,7,road_candidate;route_crossing_candidate
2239,ne,2339,zone_unconfirmed,,0,0,0,0,3,0,no_feature_candidate;strong_no_feature_candidate
2239,se,2340,zone_unconfirmed,,0,2,0,2,16,3,no_feature_candidate
2240,ne,2340,zone_unconfirmed,,0,36,5,257,23,4,road_candidate;route_crossing_candidate
2240,se,2341,zone_unconfirmed,,804,5,0,2191,233,2,river_candidate;road_candidate
2334,s,2335,zone_unconfirmed,,0,4,2,20,0,3,
2335,ne,2434,zone_unconfirmed,,0,3,0,39,60,5,route_crossing_candidate
2335,se,2435,zone_unconfirmed,,416,54,0,1341,296,6,river_candidate;road_candidate;route_crossing_candidate
2338,s,2339,zone_unconfirmed,,0,0,0,237,2,2,
2338,ne,2437,zone_unconfirmed,,800,0,0,2240,366,4,river_candidate;route_crossing_candidate
2338,se,2438,zone_unconfirmed,,635,40,5,1811,218,9,river_candidate;road_candidate;route_crossing_candidate
2339,s,2340,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
2339,ne,2438,zone_unconfirmed,,0,1,0,3,3,2,no_feature_candidate;strong_no_feature_candidate
2339,se,2439,zone_unconfirmed,,0,1,0,1,0,0,no_feature_candidate;strong_no_feature_candidate
2340,s,2341,zone_unconfirmed,,0,0,0,55,5,3,
2340,ne,2439,zone_unconfirmed,,0,0,0,2,2,3,no_feature_candidate;strong_no_feature_candidate
2340,se,2440,zone_unconfirmed,,0,49,5,226,17,5,road_candidate;route_crossing_candidate
2341,ne,2440,zone_unconfirmed,,0,0,0,51,39,0,
2341,se,2441,zone_unconfirmed,,323,19,0,854,262,9,river_candidate;road_candidate;route_crossing_candidate
2434,s,2435,zone_unconfirmed,,483,7,18,998,191,3,river_candidate;road_candidate;rail_or_primary_candidate
2434,se,2535,zone_unconfirmed,,675,19,0,1419,255,4,river_candidate;road_candidate;route_crossing_candidate
2435,ne,2535,zone_unconfirmed,,292,37,2,1067,252,6,river_candidate;road_candidate;route_crossing_candidate
2437,s,2438,zone_unconfirmed,,839,0,0,2599,372,0,river_candidate
2437,ne,2537,zone_unconfirmed,,0,1,0,2,76,0,no_feature_candidate
2437,se,2538,zone_unconfirmed,,296,14,0,1085,176,6,river_candidate;road_candidate;route_crossing_candidate
2438,s,2439,zone_unconfirmed,,0,10,1,35,2,3,road_candidate
2438,ne,2538,zone_unconfirmed,,658,15,0,1798,210,8,river_candidate;road_candidate;route_crossing_candidate
2438,se,2539,zone_unconfirmed,,0,2,42,126,10,7,rail_or_primary_candidate;route_crossing_candidate
2439,s,2440,zone_unconfirmed,,0,0,0,28,5,0,
2439,ne,2539,zone_unconfirmed,,0,2,0,19,2,1,
2439,se,2540,zone_unconfirmed,,0,3,0,15,5,3,
2440,s,2441,zone_unconfirmed,,258,4,3,528,73,1,river_candidate
2440,ne,2540,zone_unconfirmed,,0,1,0,38,40,6,route_crossing_candidate
2440,se,2541,zone_unconfirmed,,291,60,0,856,152,0,river_candidate;road_candidate
2441,ne,2541,zone_unconfirmed,,3,11,0,72,78,3,road_candidate
2441,se,2542,zone_unconfirmed,,341,55,0,801,268,7,river_candidate;road_candidate;route_crossing_candidate
2534,s,2535,zone_unconfirmed,,561,8,18,1066,276,3,river_candidate;road_candidate;rail_or_primary_candidate
2535,ne,2634,zone_unconfirmed,,0,145,0,527,188,6,road_candidate;route_crossing_candidate
2537,s,2538,zone_unconfirmed,,1,8,2,29,4,0,road_candidate
2537,ne,2636,zone_unconfirmed,,573,42,0,1836,288,6,river_candidate;road_candidate;route_crossing_candidate
2537,se,2637,zone_unconfirmed,,0,2,0,147,70,5,route_crossing_candidate
2538,s,2539,zone_unconfirmed,,0,32,3,130,9,9,road_candidate;route_crossing_candidate
2538,ne,2637,zone_unconfirmed,,7,14,0,216,40,6,road_candidate;route_crossing_candidate
2538,se,2638,zone_unconfirmed,,1,4,0,214,67,6,route_crossing_candidate
2539,s,2540,zone_unconfirmed,,0,0,0,9,3,0,no_feature_candidate;strong_no_feature_candidate
2539,ne,2638,zone_unconfirmed,,0,1,41,112,15,3,rail_or_primary_candidate
2539,se,2639,zone_unconfirmed,,0,1,0,1,1,0,no_feature_candidate;strong_no_feature_candidate
2540,s,2541,zone_unconfirmed,,250,17,0,454,106,0,river_candidate;road_candidate
2540,ne,2639,zone_unconfirmed,,0,0,0,0,0,3,no_feature_candidate;strong_no_feature_candidate
2540,se,2640,zone_unconfirmed,,0,7,0,122,19,6,road_candidate;route_crossing_candidate
2541,s,2542,zone_unconfirmed,,263,32,0,543,188,0,river_candidate;road_candidate
2541,ne,2640,zone_unconfirmed,,0,0,0,0,32,0,no_feature_candidate
2541,se,2641,zone_unconfirmed,,0,0,0,32,37,2,
2542,ne,2641,zone_unconfirmed,,302,48,0,909,185,0,river_candidate;road_candidate
2542,se,2642,zone_unconfirmed,,0,2,0,15,46,0,
2636,s,2637,zone_unconfirmed,,217,65,2,776,171,5,river_candidate;road_candidate;route_crossing_candidate
2636,ne,2736,zone_unconfirmed,,0,16,0,205,104,7,road_candidate;route_crossing_candidate
2636,se,2737,zone_unconfirmed,,0,1,0,9,39,0,no_feature_candidate
2637,s,2638,zone_unconfirmed,,256,24,0,536,198,0,river_candidate;road_candidate
2637,ne,2737,zone_unconfirmed,,297,49,0,945,179,1,river_candidate;road_candidate
2637,se,2738,zone_unconfirmed,,0,0,0,114,91,1,
2638,s,2639,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
2638,ne,2738,zone_unconfirmed,,284,55,0,825,177,2,river_candidate;road_candidate
2638,se,2739,zone_unconfirmed,,0,9,52,124,53,6,road_candidate;rail_or_primary_candidate;route_crossing_candidate
2639,s,2640,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
2639,ne,2739,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
2639,se,2740,zone_unconfirmed,,0,1,0,1,0,0,no_feature_candidate;strong_no_feature_candidate
2640,s,2641,zone_unconfirmed,,0,21,5,40,4,3,road_candidate
2640,ne,2740,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
2640,se,2741,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
2641,s,2642,zone_unconfirmed,,266,31,0,578,144,2,river_candidate;road_candidate
2641,ne,2741,zone_unconfirmed,,0,1,0,13,1,3,
2641,se,2742,zone_unconfirmed,,0,11,0,142,45,1,road_candidate
2642,ne,2742,zone_unconfirmed,,319,46,0,614,176,0,river_candidate;road_candidate
2736,s,2737,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
2736,ne,2835,zone_unconfirmed,,0,41,0,379,107,4,road_candidate;route_crossing_candidate
2736,se,2836,zone_unconfirmed,,0,0,0,2,1,0,no_feature_candidate;strong_no_feature_candidate
2737,s,2738,zone_unconfirmed,,204,20,0,413,131,0,river_candidate;road_candidate
2737,ne,2836,zone_unconfirmed,,0,0,0,0,0,0,no_feature_candidate;strong_no_feature_candidate
