side,card_row,location,order,start_face_upload_id,other_face_upload_id,other_face_factors,review_note
axis,A8,2529,2,1731045816074293793,1731045816074294718,3[6]-3-4,superscript attack requires rule review
axis,A8,2531,1,1731046051396213435,1731046051396213710,2-2-6,
axis,A8,2531,2,1731045816074729068,1731045816074731992,4-5-6,
axis,A8,2533,1,1731045816072472756,1731045816072472295,10-8-6,starts on reduced face
axis,A8,2533,2,1731045816072470297,1731045816072469984,6-7-3,starts on reduced face
axis,A8,2634,1,1731045816074201201,1731045816074201855,4-5-3,
axis,A8,2634,2,1731045816074325319,1731045816074324350,6-7-3,starts on reduced face
axis,A8,2634,3,1731045816074289753,,,no matching other face image identified
soviet,S1,1600,1,1788468603472608705,1788468603472609267,1-3-3,
soviet,S1,1600,2,1788468758446479928,,,no matching other face image identified
soviet,S1,1800,1,1788468758446433672,,,no matching other face image identified
soviet,S1,1502,1,1788468758446464196,1788468758446464774,1-3-3,
soviet,S1,1502,2,1788468758446519873,1788468758446519155,3-5-3,starts on reduced face
soviet,S1,1502,3,1788468758446440202,,,no matching other face image identified
soviet,S1,1403,1,1788468758446587424,1788468758446588302,1-3-3,
soviet,S1,1403,2,1788468758446489376,,,no matching other face image identified
soviet,S1,1305,1,1788468603472689896,1788468603472690303,1-3-3,
soviet,S1,1305,2,1788468603472721960,1788468603472721431,3-5-3,starts on reduced face
soviet,S1,1802,1,1788468603472617204,1788468603472617677,4-3-5,
soviet,S1,1802,2,1788468758446457517,,,no matching other face image identified
soviet,S2,2002,1,1788468758447281523,1788468758447282154,0(1)5,HQ reverse
soviet,S2,2002,2,1788468758446857718,1788468758446858155,1-3-3,
soviet,S2,2002,3,1788468758446445945,,,no matching other face image identified
soviet,S2,1604,1,1788468603472340568,1788468603472340101,3-5-3,starts on reduced face
soviet,S2,1604,2,1788468603472603377,,,no matching other face image identified
soviet,S2,1307,1,1788468603472374266,1788468603472374561,1-3-3,
soviet,S2,1307,2,1788468603472276880,1788468603472277161,,blank reverse image
soviet,S2,1309,1,1788468758446800537,1788468758446799871,3-5-3,starts on reduced face
soviet,S2,1309,2,1788468758446864946,1788468758446865516,1-3-3,
soviet,S2,1311,1,1788468758446870397,1788468758446869660,3-5-3,starts on reduced face
soviet,S2,1311,2,1788468603472596040,,,no matching other face image identified
