side,card_row,location,order,printed_label,front_factors
axis,A6,1722,1,101,5-5-4
axis,A6,1523,1,1,5[10]-5-4
axis,A6,1823,1,68,4-5-3
axis,A6,1923,1,257,6-7-3
axis,A6,2024,1,295,6-7-3
axis,A7,2225,1,94,6-7-3
axis,A7,2225,2,76,6-7-3
axis,A7,1926,1,22,7-5-6
axis,A7,2027,1,60,6-7-6
axis,A7,2029,1,14,7-6-6
axis,A7,2331,1,17A HQ,S(1)5
axis,A7,2326,1,370,5-7-3
axis,A7,2327,1,111,6-7-3
axis,A7,2427,1,3 Cel,4-4-6
axis,A7,2427,2,Prs,2-4-3
axis,A7,2427,3,Tor,2-4-3
axis,A8,2427,1,Barbo,2-2-5
axis,A8,2529,1,198,6-7-3
axis,A8,2529,2,4,5[10]-5-4
axis,A8,2531,1,Slov,4-4-6
axis,A8,2531,2,Wilk,6-8-6
axis,A8,2533,1,13,7-6-6
axis,A8,2533,2,125,4-5-3
axis,A8,2634,1,298,6-7-3
axis,A8,2634,2,73,4-5-3
axis,A8,2634,3,4,1-2-4
axis,A8,1936,1,5,3-3-5
soviet,S1,1600,1,15+143,3-5-3
soviet,S1,1600,2,129,2-2-6
soviet,S1,1800,1,106,2-2-3
soviet,S1,1502,1,121,3-5-3
soviet,S1,1502,2,160,1-3-3
soviet,S1,1502,3,111,2-2-3
soviet,S1,1403,1,212,3-5-3
soviet,S1,1403,2,141,2-2-3
soviet,S1,1305,1,45,3-5-3
soviet,S1,1305,2,62,1-3-3
soviet,S1,1802,1,16,7-5-5
soviet,S1,1802,2,119,2-2-3
soviet,S2,2002,1,Bry HQ,S(1)5
soviet,S2,2002,2,284,3-5-3
soviet,S2,2002,3,115+116,2-2-6
soviet,S2,1604,1,6,1-3-3
soviet,S2,1604,2,14+170,2-2-6
soviet,S2,1307,1,8 NKVD,2-5-3
soviet,S2,1307,2,1,2-2-6
soviet,S2,1309,1,227,1-3-3
soviet,S2,1309,2,297,3-5-3
soviet,S2,1311,1,301,1-3-3
soviet,S2,1311,2,10,2-2-6
soviet,S3,1510,1,4,7-5-5
soviet,S3,1510,2,226+343,3-5-3
soviet,S3,1512,1,76+293,3-5-3
soviet,S3,1512,2,124,1-3-3
soviet,S3,1713,1,13,1-3-3
soviet,S3,1713,2,169,3-5-3
soviet,S3,1713,3,90,2-2-6
soviet,S3,1813,1,15,1-3-3
soviet,S3,1813,2,65,2-2-6
soviet,S3,1813,3,38+175,3-5-3
soviet,S3,2013,1,23,7-5-5
soviet,S4,1611,1,13,7-5-5
soviet,S4,1911,1,SW HQ,S(1)5
soviet,S4,1911,2,24,7-5-5
soviet,S4,1815,1,9,3-5-3
soviet,S4,1815,2,3,4-5-5
soviet,S4,1815,3,6,3-2-5
soviet,S4,1816,1,162+300,3-5-3
soviet,S4,1816,2,277,1-3-3
soviet,S4,1816,3,1 TD,1-3-5
soviet,S4,1818,1,199+278,1-3-3
soviet,S4,1818,2,242+255,3-5-3
soviet,S4,1819,1,106+333,3-5-3
soviet,S5,1819,1,81+304,1-3-3
soviet,S5,1821,1,51+140,3-5-3
soviet,S5,2022,1,296+318,3-5-3
soviet,S5,2017,1,22,4-3-5
soviet,S5,2120,1,5,2-3-5
soviet,S5,2120,2,159,2-2-6
soviet,S5,2120,3,14,4-3-5
soviet,S5,2023,1,295,3-5-3
soviet,S5,2023,2,275,3-5-3
soviet,S5,2224,1,218+349,3-5-3
soviet,S5,2224,2,102+230,3-5-3
soviet,S5,2224,3,121,2-2-6
soviet,S6,2425,1,4,3-5-3
soviet,S6,2425,2,261,1-3-3
soviet,S6,2426,1,73+176,3-5-3
soviet,S6,2426,2,74,3-5-3
soviet,S6,2528,1,216,3-5-3
soviet,S6,2528,2,353,3-5-3
soviet,S6,2629,1,395,3-5-3
soviet,S6,2629,2,383,3-5-3
soviet,S6,2828,1,228+347,3-5-3
soviet,S6,2828,2,64,2-2-6
soviet,S6,2725,1,South HQ,S(1)5
soviet,S6,2725,2,140,2-2-6
soviet,S7,2631,1,31,3-5-3
soviet,S7,2631,2,76,2-2-3
soviet,S7,2633,1,339,3-5-3
soviet,S7,2633,2,68,2-2-3
soviet,S7,2734,1,30 Irk,3-5-3
soviet,S7,2734,2,16,2-2-3
soviet,S7,2832,1,2,3-5-3
soviet,S7,2832,2,63,2-2-6
soviet,S7,2503,1,17,7-5-5
soviet,S7,2503,2,2 TD,1-3-5
soviet,S7,2503,3,Vor NKVD,1-2-3
soviet,S7,3134,1,Ros NKVD,2-6-3
soviet,S8,2936,1,91+302,3-5-3
soviet,S8,2338,1,116KK,2-2-5
soviet,S8,3139,1,12KK,2-2-5
soviet,S8,3241,1,15KK,2-2-5
soviet,S8,3241,2,NCau HQ,S(1)5
soviet,S8,3434,1,110+115,2-2-5
soviet,S8,3806,1,141+206,3-5-3
soviet,S8,3806,2,174+232,3-5-3
soviet,S8,3806,3,219,3-5-3
soviet,S8,3806,4,309,3-5-3
soviet,S8,3322,1,335+341,1-3-3
